카테고리,id,등급,상품명_한글,원어명,생산자_원어,분류,용량,현지가_원화,기준가_원화,할인율,판정근거,매칭된_와인명,일치율,국내가_최저,국내가_중앙,국내가_최신등록일,해외_원통화,해외_원가격,게시연도,신뢰도,상태,미변환여부,샴드뱅링크,빈티지,빈티지검증
미국,27,B,피터 마이클 샤르도네 마 벨피유 2017,Peter Michael Chardonnay Ma Belle-Fille 2017,Peter,,750ml,277200,539380,0.4861,해외가,Peter Michael Belle Côte Chardonnay 2017,1.0,,,,USD,362.0,2026,높음,,True,https://charme-du-vin.com/2026/05/43393/,2017,일치
스페인·포르투갈,86,B,페스케라 크리안사 2018,Pesquera Crianza 2018,Pesquera,,750ml,39897,74485,0.4644,해외가,Tinto Pesquera Crianza 2018,1.0,,,,USD,49.99,2021,낮음,,False,https://charme-du-vin.com/2021/10/24233/,2018,일치
이탈리아,90,B,제오그라피코 ボルゴアラテッラ 키안티 콜리 세네시 2023,Geografico ボルゴアラテッラ Chianti Colli Senesi 2023,Geografico,DOCG,750ml,13860,23825,0.4183,해외가,Geografico Borgo Alla Terra Chianti Colli Senesi 2021,1.0,,,,USD,15.99,2025,높음,빈티지대체,True,https://charme-du-vin.com/2025/01/37730/,2023,빈티지불일치
미국,94,B,오 봉 클리마 샤르도네 뉘 블랑슈 フォーサイト 2021,Au Bon Climat Chardonnay Nuits Blanches フォーサイト 2021,Au,,750ml,53460,89892,0.4053,해외가,Au Bon Climat Chardonnay Nuits-Blanches au Bouge 2021,1.0,,,,USD,60.33,2025,높음,,True,https://charme-du-vin.com/2025/07/40252/,2021,일치
이탈리아,67,B,테누타 디 테누타 디 트리노로 2013,Tenuta di Tenuta di Trinoro 2013,Trinoro,,750ml,257400,426229,0.3961,해외가,Tenuta di Trinoro Palazzi Rosso Toscana 2013,1.0,,,,USD,286.06,2025,높음,,False,https://charme-du-vin.com/2025/05/39468/,2013,일치
이탈리아,35,B,로베르토 보에르치오 바롤로 포사티 2019,Roberto Voerzio Barolo Fossati 2019,Roberto,DOCG,750ml,336600,551285,0.3894,해외가,Roberto Voerzio Brunate  Barolo 2019,1.0,,,,USD,369.99,2026,높음,,True,https://charme-du-vin.com/2026/01/42262/,2019,일치
이탈리아,36,B,로베르토 보에르치오 바롤로 ラセッラ 2019,Roberto Voerzio Barolo ラセッラ 2019,Roberto,DOCG,750ml,336600,551285,0.3894,해외가,Roberto Voerzio Brunate  Barolo 2019,1.0,,,,USD,369.99,2026,높음,,True,https://charme-du-vin.com/2026/01/42262/,2019,일치
미국,64,B,에덴 리프트 배리언트 샤르도네 2022,Eden Rift Variant Chardonnay 2022,Eden,,750ml,42570,68540,0.3789,해외가,Eden Rift Vineyards Estate Chardonnay 2022,1.0,,,,USD,46.0,2025,높음,,True,https://charme-du-vin.com/2025/11/41519/,2022,일치
미국,63,B,에덴 리프트 배리언트 피노 누아 2022,Eden Rift Variant Pinot Noir 2022,Eden,,750ml,42570,68525,0.3788,해외가,Eden Rift Vineyards Pinot Noir 2022,1.0,,,,USD,45.99,2025,높음,,True,https://charme-du-vin.com/2025/11/41519/,2022,일치
미국,87,B,키슬러 샤르도네 레 누아즈티에 2023,Kistler Chardonnay Les Noisetiers 2023,Kistler,,750ml,108900,163900,0.3356,해외가,Kistler Chardonnay 2023,1.0,,,,USD,110.0,2025,높음,,True,https://charme-du-vin.com/2025/08/40592/,2023,일치
이탈리아,14,B,자코모 콘테르노 바롤로 리제르바 몬포르티노 2019,Giacomo Conterno Barolo Riserva Monfortino 2019,Giacomo,DOCG,750ml,1188000,1728326,0.3126,해외가,Giacomo Conterno Barolo Riserva Monfortino 2019,1.0,,,,USD,1159.95,2026,높음,,True,https://charme-du-vin.com/2026/06/43879/,2019,일치
이탈리아,56,B,안티노리 피안 델레 비녜 브루넬로 디 몬탈치노 비냐 페로비아 리제르바 2018,Antinori Pian delle Vigne Brunello di Montalcino Vigna Ferrovia Riserva 2018,Antinori,DOCG,750ml,138600,201150,0.311,해외가,Antinori Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva 2018,0.875,,,,USD,135.0,2025,높음,,True,https://charme-du-vin.com/2025/07/40245/,2018,일치
이탈리아,9,B,테누타 디 트리노로 캄포 디 마냐코스타 2022,Tenuta di Trinoro Campo di Magnacosta 2022,Trinoro,,750ml,138600,199645,0.3058,해외가,Tenuta di Trinoro Campo di Tenaglia Rosso Toscana 2022,0.667,,,,USD,133.99,2026,높음,,True,https://charme-du-vin.com/2026/07/44248/,2022,일치
미국,81,B,게리 패럴 피노 누아 2022,Gary Farrell Pinot Noir 2022,Gary,,750ml,52470,74485,0.2956,해외가,Gary Farrell Russian River Selection Pinot Noir 2022,1.0,,,,USD,49.99,2025,높음,,False,https://charme-du-vin.com/2025/09/40929/,2022,일치
이탈리아,8,B,일 일 카르보나이오네 2021,Il Il Carbonaione 2021,Carbonaione,,750ml,57420,80177,0.2838,해외가,Poggio Scalette Il Carbonaione Alta Valle della Greve 2021,1.0,,,,USD,53.81,2026,높음,,False,https://charme-du-vin.com/2026/07/44248/,2021,일치
스페인·포르투갈,1,B,플로르 데 핑구스 2021,Flor de Pingus 2021,Flor,,750ml,128700,178785,0.2801,해외가,Dominio de Pingus Flor de Pingus 2021,1.0,,,,USD,119.99,2026,높음,,False,https://charme-du-vin.com/2026/04/43189/,2021,일치
이탈리아,47,B,오르넬라이아 비안코 2022,Ornellaia Bianco 2022,Ornellaia,,750ml,366300,505393,0.2752,해외가,Ornellaia Toscana Bianco 2022,1.0,,,,USD,339.19,2025,높음,,False,https://charme-du-vin.com/2025/09/40812/,2022,일치
미국,58,B,키슬러 샤르도네 소노마 마운틴 2023,Kistler Chardonnay Sonoma Mountain 2023,Kistler,,750ml,118800,163900,0.2752,해외가,Kistler Chardonnay 2023,1.0,,,,USD,110.0,2025,높음,,True,https://charme-du-vin.com/2025/12/41927/,2023,일치
미국,80,B,게리 패럴 샤르도네 2022,Gary Farrell Chardonnay 2022,Gary,,750ml,45540,62580,0.2723,해외가,Gary Farrell Russian River Selection Chardonnay 2022,1.0,,,,USD,42.0,2025,높음,,False,https://charme-du-vin.com/2025/09/40929/,2022,일치
미국,70,B,더 마스코트 나파 2020,The Mascot Napa 2020,Mascot,,750ml,217800,297985,0.2691,해외가,The Mascot Cabernet Sauvignon 2020,1.0,,,,USD,199.99,2025,높음,,False,https://charme-du-vin.com/2025/10/41340/,2020,일치
미국,47,B,칼레라 라이언 2019,Calera Ryan 2019,Calera,,750ml,98010,134070,0.269,해외가,Calera Pinot Noir Ryan Vineyard 2019,1.0,,,,USD,89.98,2026,높음,,False,https://charme-du-vin.com/2026/03/42754/,2019,일치
미국,52,B,키슬러 피노 누아 러시안 리버 2022,Kistler Pinot Noir Russian River 2022,Kistler,,750ml,118800,160905,0.2617,해외가,Kistler Russian River Valley Pinot Noir 2022,1.0,,,,USD,107.99,2026,높음,,False,https://charme-du-vin.com/2026/03/42744/,2022,일치
스페인·포르투갈,16,B,초민 에차니스 차콜리 로사도 2023,Txomin Etxaniz Txakoli Rosado 2023,Txomin,,750ml,29700,40215,0.2615,해외가,Txomin Etxaniz Txakoli 2023,0.75,,,,USD,26.99,2025,높음,,False,https://charme-du-vin.com/2025/06/39704/,2023,일치
이탈리아,77,B,달 포르노 로마노 발폴리첼라 수페리오레 2017,Dal Forno Romano Valpolicella Superiore 2017,Dal,DOC,750ml,138600,186250,0.2558,해외가,Dal Forno Romano Valpolicella Superiore Monte Lodoletta 2017,1.0,,,,USD,125.0,2025,높음,,False,https://charme-du-vin.com/2025/02/38266/,2017,일치
미국,19,B,트레페던 에슈콜 샤르도네 나파 2023,Trefethen Eshcol Chardonnay Napa 2023,Trefethen,,750ml,27720,37235,0.2555,해외가,Trefethen Chardonnay 2023,1.0,,,,USD,24.99,2026,높음,,True,https://charme-du-vin.com/2026/05/43557/,2023,일치
이탈리아,11,B,안티노리 솔라이아 2020,Antinori Solaia 2020,Antinori,,750ml,445500,595985,0.2525,해외가,Antinori Tenuta Tignanello 'Solaia' 2020,1.0,,,,USD,399.99,2026,높음,,False,https://charme-du-vin.com/2026/07/44109/,2020,일치
스페인·포르투갈,64,B,콘다도 アザ 크리안사 2019,Condado アザ Crianza 2019,Condado,,750ml,24532,32765,0.2513,해외가,Condado de Haza Crianza Ribera del Duero 2019,1.0,,,,USD,21.99,2023,보통,,True,https://charme-du-vin.com/2023/03/29499/,2019,일치
미국,55,B,스타 레인 카베르네 소비뇽 2020,Star Lane Cabernet Sauvignon 2020,Star,,750ml,62370,81935,0.2388,해외가,Star Lane Vineyard Cabernet Sauvignon 2020,1.0,,,,USD,54.99,2026,높음,,False,https://charme-du-vin.com/2026/01/42127/,2020,일치
이탈리아,18,B,레 세레 누오베 디 오르넬라이아 2022,Le Serre Nuove di Ornellaia 2022,Serre,,750ml,85140,111735,0.238,해외가,Ornellaia Le Serre Nuove 2022,1.0,,,,USD,74.99,2026,높음,,False,https://charme-du-vin.com/2026/05/43390/,2022,일치
미국,29,B,키슬러 샤르도네 더튼 랜치 2023,Kistler Chardonnay Dutton Ranch 2023,Kistler,,750ml,227700,297985,0.2359,해외가,Kistler Dutton Ranch Chardonnay 2023,1.0,,,,USD,199.99,2026,높음,,False,https://charme-du-vin.com/2026/04/43297/,2023,일치
스페인·포르투갈,4,B,시에라 칸타브리아 그란 레세르바 2016,Sierra Cantabria Gran Reserva 2016,Sierra,,750ml,57420,74500,0.2293,해외가,Sierra Cantabria Gran Reserva 2016,1.0,,,,USD,50.0,2026,높음,,False,https://charme-du-vin.com/2026/04/43068/,2016,일치
미국,56,B,더 더 힐트 에스테이트 샤르도네 2022,The The Hilt Estate Chardonnay 2022,Hilt,,750ml,49500,63981,0.2263,해외가,The Hilt Estate Chardonnay 2022,1.0,,,,USD,42.94,2025,높음,,False,https://charme-du-vin.com/2025/12/42059/,2022,일치
미국,102,B,조셉 펠프스 인시그니아 2021,Joseph Phelps Insignia 2021,Joseph,,750ml,415800,536385,0.2248,해외가,Joseph Phelps Vineyards Insignia 2021,1.0,,,,USD,359.99,2025,높음,,False,https://charme-du-vin.com/2025/06/39854/,2021,일치
이탈리아,46,B,오르넬라이아 2021,Ornellaia 2021,Ornellaia,,750ml,326700,417185,0.2169,해외가,Ornellaia Bolgheri Superiore 2021,1.0,,,,USD,279.99,2025,높음,,False,https://charme-du-vin.com/2025/09/40812/,2021,일치
이탈리아,79,B,포조 디 소토 브루넬로 디 몬탈치노 2019,Poggio di Sotto Brunello di Montalcino 2019,Poggio,DOCG,750ml,287100,363754,0.2107,해외가,Poggio di Sotto Brunello di Montalcino 2019,1.0,,,,USD,244.13,2025,높음,,False,https://charme-du-vin.com/2025/02/38228/,2019,일치
스페인·포르투갈,65,B,플로르 데 핑구스 2019,Flor de Pingus 2019,Flor,,750ml,141174,178785,0.2104,해외가,Dominio de Pingus Flor de Pingus 2019,1.0,,,,USD,119.99,2022,낮음,,False,https://charme-du-vin.com/2022/12/28439/,2019,일치
이탈리아,24,B,엘리오 알타레 바르베라 달바 2024,Elio Altare Barbera d'Alba 2024,Elio,DOC,750ml,44550,56158,0.2067,해외가,Elio Altare Barbera d'Alba 2024,1.0,,,,USD,37.69,2026,높음,,False,https://charme-du-vin.com/2026/02/42441/,2024,일치
미국,1,B,콩스가드 시라 2023,Kongsgaard Syrah 2023,Kongsgaard,,750ml,316800,394954,0.1979,해외가,Kongsgaard Syrah 2021,1.0,,,,USD,265.07,2026,높음,빈티지대체,False,https://charme-du-vin.com/2026/07/44399/,2023,빈티지불일치
이탈리아,26,B,엘리오 알타레 바롤로 체레타 2019,Elio Altare Barolo Cerretta 2019,Elio,DOCG,750ml,207900,258262,0.195,해외가,Elio Altare Cerretta Barolo Riserva (Vigna Bricco) 2019,1.0,,,,USD,173.33,2026,높음,,False,https://charme-du-vin.com/2026/02/42438/,2019,일치
미국,3,B,오 봉 클리마 샤르도네 뉘 블랑슈 ライクマインズ 2022,Au Bon Climat Chardonnay Nuits Blanches ライクマインズ 2022,Au,,750ml,68310,84856,0.195,해외가,Au Bon Climat Chardonnay Nuits-Blanches au Bouge 2022,1.0,,,,USD,56.95,2026,높음,,True,https://charme-du-vin.com/2026/07/44372/,2022,일치
미국,103,B,초크 힐 피노 누아 소노마 코스트 2021,Chalk Hill Pinot Noir Sonoma Coast 2021,Chalk,,750ml,38610,47650,0.1897,해외가,Chalk Hill Pinot Noir 2021,1.0,,,,USD,31.98,2025,높음,,False,https://charme-du-vin.com/2025/06/39821/,2021,일치
이탈리아,28,B,엘리오 알타레 바롤로 아르보리나 2021,Elio Altare Barolo Arborina 2021,Elio,DOCG,750ml,188100,230458,0.1838,해외가,Elio Altare Arborina Barolo 2021,1.0,,,,USD,154.67,2026,높음,,False,https://charme-du-vin.com/2026/02/42430/,2021,일치
이탈리아,16,B,오르넬라이아 2022,Ornellaia 2022,Ornellaia,,750ml,316800,387385,0.1822,해외가,Ornellaia Bolgheri Superiore 2022,1.0,,,,USD,259.99,2026,높음,,False,https://charme-du-vin.com/2026/05/43481/,2022,일치
스페인·포르투갈,60,B,로제르 굴라르트 ザロジャー MARK1 2013,Roger Goulart ザロジャー MARK1 2013,Roger,,750ml,75933,92365,0.1779,해외가,Roger Goulart Cava Gran Reserva Brut 2013,0.667,24500,48250,2022-09-18,USD,61.99,2023,보통,,True,https://charme-du-vin.com/2023/10/31861/,2013,일치
미국,100,B,키슬러 샤르도네 트렌턴 로드하우스 2022,Kistler Chardonnay Trenton Roadhouse 2022,Kistler,,750ml,227700,275650,0.174,해외가,Kistler Trenton Roadhouse Chardonnay 2022,1.0,,,,USD,185.0,2025,높음,,False,https://charme-du-vin.com/2025/06/39943/,2022,일치
이탈리아,25,B,엘리오 알타레 바롤로 칸누비 2021,Elio Altare Barolo Cannubi 2021,Elio,DOCG,750ml,336600,405280,0.1695,해외가,Elio Altare Cannubi Barolo 2021,1.0,,,,USD,272.0,2026,높음,,False,https://charme-du-vin.com/2026/02/42438/,2021,일치
미국,57,B,더 더 힐트 에스테이트 피노 누아 2021,The The Hilt Estate Pinot Noir 2021,Hilt,,750ml,49500,59585,0.1693,해외가,The Hilt Estate Pinot Noir 2021,1.0,,,,USD,39.99,2025,높음,,False,https://charme-du-vin.com/2025/12/42059/,2021,일치
이탈리아,17,B,페우디 디 산 그레고리오 쿠티치 그레코 디 투포,Feudi di San Gregorio Cutizzi Greco di Tufo,Gregorio,DOCG,750ml,30690,36699,0.1637,해외가,Feudi di San Gregorio Greco Di Tufo 2022,1.0,34000,34500,2023-02-23,USD,24.63,2026,높음,,True,https://charme-du-vin.com/2026/05/43390/,표기없음,원문빈티지없음
이탈리아,7,B,아마 키안티 클라시코 그란 셀레치오네 산 로렌초 2020,Ama Chianti Classico Gran Selezione San Lorenzo 2020,Ama,DOCG,750ml,69300,81920,0.1541,해외가,Castello di Ama Chianti Classico Vigneto Gran Selezione San Lorenzo 2020,1.0,,,,USD,54.98,2026,높음,,False,https://charme-du-vin.com/2026/07/44267/,2020,일치
이탈리아,27,B,엘리오 알타레 바롤로 2021,Elio Altare Barolo 2021,Elio,DOCG,750ml,128700,150684,0.1459,해외가,Elio Altare Barolo 2021,1.0,,,,USD,101.13,2026,높음,,False,https://charme-du-vin.com/2026/02/42430/,2021,일치
스페인·포르투갈,25,B,틴토 페스케라 레세르바 2020,Tinto Pesquera Reserva 2020,Tinto,,750ml,64865,75230,0.1378,해외가,Tinto Pesquera Reserva 2020,1.0,,,,USD,50.49,2024,보통,,False,https://charme-du-vin.com/2024/11/36741/,2020,일치
미국,65,B,찰스 스미스 リアルワイン 카베르네 소비뇽 2021,Charles Smith リアルワイン Cabernet Sauvignon 2021,Charles,,750ml,25740,29726,0.1341,해외가,Charles Smith Chateau Smith Cabernet Sauvignon 2021,1.0,,,,USD,19.95,2025,높음,,True,https://charme-du-vin.com/2025/11/41376/,2021,일치
이탈리아,87,B,엘리오 그라소 바롤로 ルンコト 리제르바 2016,Elio Grasso Barolo ルンコト Riserva 2016,Elio,DOCG,750ml,376200,432085,0.1293,해외가,Elio Grasso Barolo Riserva Rüncot 2016,1.0,,,,USD,289.99,2025,높음,,True,https://charme-du-vin.com/2025/01/37868/,2016,일치
미국,7,B,키슬러 샤르도네 허드슨 빈야드 2023,Kistler Chardonnay Hudson Vineyard 2023,Kistler,,750ml,227700,260735,0.1267,해외가,Kistler Hudson Vineyard Chardonnay 2023,1.0,,,,USD,174.99,2026,높음,,False,https://charme-du-vin.com/2026/06/44028/,2023,일치
미국,43,B,더 마스코트 나파 2021,The Mascot Napa 2021,Mascot,,750ml,227700,260675,0.1265,해외가,The Mascot Cabernet Sauvignon 2021,1.0,,,,USD,174.95,2026,높음,,False,https://charme-du-vin.com/2026/03/42862/,2021,일치
스페인·포르투갈,3,B,시에라 칸타브리아 크리안사 2021,Sierra Cantabria Crianza 2021,Sierra,,750ml,28710,32706,0.1222,해외가,Sierra Cantabria Crianza 2021,1.0,,,,USD,21.95,2026,높음,,False,https://charme-du-vin.com/2026/04/43068/,2021,일치
이탈리아,61,B,자코모 콘테르노 바롤로 프란차 2020,Giacomo Conterno Barolo Francia 2020,Giacomo,DOCG,750ml,346500,393360,0.1191,해외가,Giacomo Conterno Barolo Cascina Francia 2020,1.0,,,,USD,264.0,2025,높음,,False,https://charme-du-vin.com/2025/06/39890/,2020,일치
이탈리아,23,B,브루노 자코사 바르바레스코 라바야 2021,Bruno Giacosa Barbaresco Rabajà 2021,Bruno,DOCG,750ml,475200,535804,0.1131,해외가,Bruno Giacosa Falletto Barbaresco Rabaja 2021,1.0,,,,USD,359.6,2026,높음,,False,https://charme-du-vin.com/2026/04/43103/,2021,일치
이탈리아,85,B,엘리오 알타레 바롤로 2020,Elio Altare Barolo 2020,Elio,DOCG,750ml,123750,138198,0.1045,해외가,Elio Altare Barolo 2020,1.0,,,,USD,92.75,2025,높음,,False,https://charme-du-vin.com/2025/01/37890/,2020,일치
이탈리아,63,B,파토리아 디 바르비 브루넬로 디 몬탈치노 2018,Fattoria di Barbi Brunello di Montalcino 2018,Barbi,DOCG,750ml,87120,97133,0.1031,해외가,Fattoria dei Barbi Brunello di Montalcino 2019,1.0,,,,USD,65.19,2025,높음,빈티지대체,False,https://charme-du-vin.com/2025/05/39471/,2018,빈티지불일치
미국,74,B,콩스가드 샤르도네 더 저지 2023,Kongsgaard Chardonnay The Judge 2023,Kongsgaard,,750ml,792000,879085,0.0991,해외가,Kongsgaard The Judge Chardonnay 2023,1.0,,,,USD,589.99,2025,높음,,False,https://charme-du-vin.com/2025/10/41160/,2023,일치
미국,38,B,허드슨 샤르도네,Hudson Chardonnay,Hudson,,750ml,97020,107265,0.0955,해외가,Hudson Chardonnay 2023,1.0,,,,USD,71.99,2026,높음,,False,https://charme-du-vin.com/2026/03/42880/,표기없음,원문빈티지없음
이탈리아,69,B,자코모 콘테르노 바르베라 달바 비냐 프란차 2022,Giacomo Conterno Barbera d'Alba Vigna Francia 2022,Giacomo,DOC,750ml,108900,119185,0.0863,해외가,Giacomo Conterno Barbera d'Alba Vigna Francia 2022,1.0,,,,USD,79.99,2025,높음,,False,https://charme-du-vin.com/2025/04/39192/,2022,일치
이탈리아,70,B,예르만 웨어 드림스 2022,Jermann Were Dreams 2022,Jermann,,750ml,75240,81950,0.0819,해외가,Jermann Where Dreams have no end (W... Dreams...) 2022,0.667,,,,USD,55.0,2025,높음,,False,https://charme-du-vin.com/2025/04/39124/,2022,일치
미국,4,B,지라드 카베르네 소비뇽 나파 2021,Girard Cabernet Sauvignon Napa 2021,Girard,,750ml,58410,62565,0.0664,해외가,Girard Cabernet Sauvignon 2021,1.0,,,,USD,41.99,2026,높음,,False,https://charme-du-vin.com/2026/07/44319/,2021,일치
스페인·포르투갈,77,B,장 레옹 3055 샤르도네 2021,Jean Leon 3055 Chardonnay 2021,Jean,,750ml,20869,22276,0.0632,해외가,Jean Leon Chardonnay Penedès 3055 2018,1.0,,,,USD,14.95,2022,낮음,빈티지대체,False,https://charme-du-vin.com/2022/03/25546/,2021,빈티지불일치
미국,145,B,피터 마이클 오 파라디 2020,Peter Michael Au Paradis 2020,Peter,,750ml,366300,387355,0.0544,해외가,Peter Michael Les Pavots 2020,1.0,,,,USD,259.97,2025,높음,,True,https://charme-du-vin.com/2025/01/37774/,2020,일치
미국,9,B,키슬러 샤르도네 레 누아즈티에 2024,Kistler Chardonnay Les Noisetiers 2024,Kistler,,750ml,108900,114715,0.0507,해외가,Kistler Chardonnay 2024,1.0,,,,USD,76.99,2026,높음,,True,https://charme-du-vin.com/2026/06/44024/,2024,일치
스페인·포르투갈,90,B,토레스 비냐 에스메랄다 2019,Torres Viña Esmeralda 2019,Torres,,750ml,14800,15466,0.0431,해외가,Familia Torres Viña Esmeralda 2023,1.0,,,,USD,10.38,2021,낮음,빈티지대체,False,https://charme-du-vin.com/2021/04/22418/,2019,빈티지불일치
미국,69,B,웨이페어러 샤르도네 포트 로스 시뷰 2022,Wayfarer Chardonnay Fort Ross-Seaview 2022,Wayfarer,,750ml,128700,134026,0.0397,해외가,Wayfarer Chardonnay 2022,1.0,,,,USD,89.95,2025,높음,,True,https://charme-du-vin.com/2025/10/41340/,2022,일치
미국,79,B,조엘 고트 샤르도네 2021,Joel Gott Chardonnay 2021,Joel,,750ml,25740,26805,0.0397,해외가,Joel Gott Barrel Aged Chardonnay 2021,1.0,,,,USD,17.99,2025,높음,,False,https://charme-du-vin.com/2025/09/40932/,2021,일치
미국,101,B,키슬러 샤르도네 허드슨 빈야드 2022,Kistler Chardonnay Hudson Vineyard 2022,Kistler,,750ml,227700,236910,0.0389,해외가,Kistler Hudson Vineyard Chardonnay 2022,1.0,,,,USD,159.0,2025,높음,,False,https://charme-du-vin.com/2025/06/39943/,2022,일치
이탈리아,81,B,스키아벤차 랑게 네비올로 2021,Schiavenza Langhe Nebbiolo 2021,Schiavenza,DOC,750ml,27720,28817,0.0381,해외가,Schiavenza Langhe Nebbiolo 2015,1.0,,,,USD,19.34,2025,높음,빈티지대체,False,https://charme-du-vin.com/2025/02/38126/,2021,빈티지불일치
스페인·포르투갈,70,B,라 리오하 알타 비냐 알베르디 2018,La Rioja Alta Viña Alberdi 2018,Rioja,,750ml,40511,41705,0.0286,해외가,La Rioja Alta Viña Alberdi Reserva 2018,1.0,,,,USD,27.99,2022,낮음,,False,https://charme-du-vin.com/2022/09/27494/,2018,일치
미국,115,B,애스턴 에스테이트 피노 누아 소노마 2019,Aston Estate Pinot Noir Sonoma 2019,Aston,,750ml,108900,111735,0.0254,해외가,Aston Estate Pinot Noir 2019,1.0,,,,USD,74.99,2025,높음,,False,https://charme-du-vin.com/2025/05/39417/,2019,일치
미국,5,B,키슬러 피노 누아 소노마 코스트 2023,Kistler Pinot Noir Sonoma Coast 2023,Kistler,,750ml,108900,111676,0.0249,해외가,Kistler Pinot Noir 2023,1.0,,,,USD,74.95,2026,높음,,False,https://charme-du-vin.com/2026/06/44031/,2023,일치
미국,75,B,오퍼스 원 2021,Opus One 2021,Opus,,750ml,623700,633622,0.0157,해외가,Opus One Opus One 2021,1.0,,,,USD,425.25,2025,높음,,False,https://charme-du-vin.com/2025/10/41137/,2021,일치
이탈리아,86,B,엘리오 알타레 바롤로 아르보리나 2020,Elio Altare Barolo Arborina 2020,Elio,DOCG,750ml,163350,163870,0.0032,해외가,Elio Altare Arborina Barolo 2020,1.0,,,,USD,109.98,2025,높음,,False,https://charme-du-vin.com/2025/01/37890/,2020,일치
미국,6,B,키슬러 피노 누아 러시안 리버 밸리 2023,Kistler Pinot Noir Russian River Valley 2023,Kistler,,750ml,118800,119126,0.0027,해외가,Kistler Russian River Valley Pinot Noir 2023,1.0,,,,USD,79.95,2026,높음,,False,https://charme-du-vin.com/2026/06/44031/,2023,일치
미국,46,B,브레드 앤 버터 메를로 2023,Bread & Butter Merlot 2023,Bread,,750ml,25740,25256,-0.0192,해외가,Bread & Butter Merlot 2023,1.0,,,,USD,16.95,2026,높음,,False,https://charme-du-vin.com/2026/03/42821/,2023,일치
스페인·포르투갈,71,B,라 리오하 알타 비냐 아르단사 레세르바 2015,La Rioja Alta Viña Ardanza Reserva 2015,Rioja,,750ml,57697,56605,-0.0193,해외가,La Rioja Alta Viña Ardanza Reserva 2015,1.0,,,,USD,37.99,2022,낮음,,False,https://charme-du-vin.com/2022/09/27494/,2015,일치
미국,15,B,오베르 이스트사이드 러시안 리버 밸리 2024,Aubert Eastside Russian River Valley 2024,Aubert,,750ml,267300,260750,-0.0251,해외가,Aubert Russian River Chardonnay 2024,1.0,,,,USD,175.0,2026,높음,,True,https://charme-du-vin.com/2026/06/43765/,2024,일치
이탈리아,52,B,로베르토 보에르치오 바롤로 델 코무네 디 라 모라 2020,Roberto Voerzio Barolo del Comune di La Morra 2020,Roberto,DOCG,750ml,153450,148985,-0.03,해외가,Roberto Voerzio Barolo del Comune di la Morra 2019,1.0,,,,USD,99.99,2025,높음,빈티지대체,False,https://charme-du-vin.com/2025/07/40371/,2020,빈티지불일치
미국,2,B,더블 다이아몬드 소비뇽 블랑 2024,Double Diamond Sauvignon Blanc 2024,Double,,750ml,92070,89385,-0.03,해외가,Schrader Double Diamond Sauvignon Blanc 2024,1.0,,,,USD,59.99,2026,높음,,False,https://charme-du-vin.com/2026/07/44399/,2024,일치
미국,48,B,칼레라 젠슨 2020,Calera Jensen 2020,Calera,,750ml,153450,148985,-0.03,해외가,Calera Pinot Noir Jensen Vineyard 2020,1.0,,,,USD,99.99,2026,높음,,False,https://charme-du-vin.com/2026/03/42754/,2020,일치
스페인·포르투갈,69,B,소알례이로 ジェルミナール 로우레이루 VV 2020,Soalheiro ジェルミナール Loureiro VV 2020,Soalheiro,,750ml,24552,23766,-0.0331,해외가,Soalheiro Allo Alvarinho - Loureiro 2024,0.667,,,,USD,15.95,2022,낮음,빈티지대체,True,https://charme-du-vin.com/2022/09/27497/,2020,빈티지불일치
미국,92,B,플라워스 샤르도네 소노마 코스트 2023,Flowers Chardonnay Sonoma Coast 2023,Flowers,,750ml,81180,78210,-0.038,해외가,Flowers Sonoma Coast Chardonnay 2023,1.0,,,,USD,52.49,2025,높음,,False,https://charme-du-vin.com/2025/07/40289/,2023,일치
스페인·포르투갈,11,B,라파엘 팔라시오스 아스 소르테스 2023,Rafael Palacios As Sortes 2023,Rafael,,750ml,123750,119185,-0.0383,해외가,Rafael Palacios As Sortes Val do Bibei Godello 2023,1.0,,,,USD,79.99,2025,높음,,False,https://charme-du-vin.com/2025/10/41208/,2023,일치
미국,32,B,옥시덴탈 프리스톤 옥시덴탈 피노 누아 2023,Occidental Freestone Occidental Pinot Noir 2023,Occidental,,750ml,118800,113225,-0.0492,해외가,Occidental Freestone-Occidental Pinot Noir 2023,1.0,,,,USD,75.99,2026,높음,,False,https://charme-du-vin.com/2026/04/43109/,2023,일치
스페인·포르투갈,15,B,초민 에차니스 차콜리 블랑코 2024,Txomin Etxaniz Txakoli Blanco 2024,Txomin,,750ml,29700,28295,-0.0497,해외가,Txomin Etxaniz Txakoli 2024,0.75,,,,USD,18.99,2025,높음,,False,https://charme-du-vin.com/2025/06/39704/,2024,일치
미국,91,B,셰이퍼 샤르도네 레드 숄더 랜치 2023,Shafer Chardonnay Red Shoulder Ranch 2023,Shafer,,750ml,108900,103704,-0.0501,해외가,Shafer Red Shoulder Ranch Chardonnay 2023,1.0,,,,USD,69.6,2025,높음,,False,https://charme-du-vin.com/2025/07/40289/,2023,일치
