id,검색어,생산자_영문,생산자_한글,큐베,분류,현지가_원화,게시연도,신뢰도,우선순위,식별확실,샴드뱅링크
158,Roses de Jeanne VV/23,Roses de Jeanne,로즈 드 잔,VV/23,RM,336600.0,2026,높음,1,True,http://charme-du-vin.com/2026/07/44331/
159,Jérôme Prévost La Extra Brut,Jérôme Prévost,제롬 프레보,La クロズリー Extra Brut,RM,386100.0,2025,높음,1,True,http://charme-du-vin.com/2025/11/41355/
160,Jérôme Prévost Extra Brut,Jérôme Prévost,제롬 프레보,ラクロズリー Extra Brut,RM,394000.0,2026,높음,1,True,http://charme-du-vin.com/2026/05/43359/
161,Pascal Agrapart Vénus Brut Nature Blanc de Blancs 2019,Pascal Agrapart,파스칼 아그라파르,Vénus Brut Nature Blanc de Blancs 2019,RM,405900.0,2026,높음,1,True,http://charme-du-vin.com/2026/07/44179/
162,Roses de Jeanne HL/R20 Blanc de Blancs,Roses de Jeanne,로즈 드 잔,HL/R20 オートランブレ Blanc de Blancs,RM,514800.0,2026,높음,1,True,http://charme-du-vin.com/2026/02/42547/
163,Egly-Ouriet Blanc de Noirs Grand Cru Crayères,Egly-Ouriet,에글리 우리에,Blanc de Noirs Grand Cru レ Crayères,RM,584100.0,2025,높음,1,True,http://charme-du-vin.com/2025/04/39024/
164,Jérôme Prévost Extra Brut Rosé,Jérôme Prévost,제롬 프레보,ラクロズリー ファクシミル Extra Brut Rosé,RM,1287000.0,2025,높음,1,True,http://charme-du-vin.com/2025/10/41212/
165,Egly-Ouriet Brut Millésime 2008,Egly-Ouriet,에글리 우리에,Brut Millésime 2008,RM,1534500.0,2025,높음,1,True,http://charme-du-vin.com/2025/11/41552/
166,Nicolas Paradis Tradition,Nicolas Paradis,니콜라 파라디,Tradition ブリュ,?,32100.0,2024,보통,2,False,http://charme-du-vin.com/2024/03/33775/
167,Paul Cochet Grande Réserve Brut,Paul Cochet,폴 코셰,Grande Réserve Brut,?,32100.0,2024,보통,2,False,http://charme-du-vin.com/2024/06/34729/
168,Marcel Pierre Brut,Marcel Pierre,마르셀 피에르,Brut,?,40800.0,2023,보통,2,False,http://charme-du-vin.com/2023/12/32708/
169,Fenielle et Fils Brut,Fenielle et Fils,페니엘 에 피스,アガパンヌ Brut,?,43200.0,2024,보통,2,False,http://charme-du-vin.com/2024/02/33370/
170,L'Évêque du Han Brut,L'Évêque du Han,레베크 뒤 앙,Brut ゼロ,?,43200.0,2024,보통,2,False,http://charme-du-vin.com/2024/02/33370/
171,Louis Brun Blanc de Blancs,Louis Brun,루이 브룅,Blanc de Blancs,?,44400.0,2024,보통,2,False,http://charme-du-vin.com/2024/02/33370/
172,Arnaud de Chaulin ※3種類,Arnaud de Chaulin,아르노 드 쇼랭,ヴォヤージュドヴァイヨン ※ラベル3種類,?,49100.0,2023,보통,2,False,http://charme-du-vin.com/2023/12/32660/
173,François Chaumont Blanc de Noirs,François Chaumont,프랑수아 쇼몽,Blanc de Noirs,?,50000.0,2024,보통,2,False,http://charme-du-vin.com/2024/07/35236/
174,Beauvert Grand Cru Brut,Beauvert,보베르,Grand Cru Brut,?,54300.0,2024,보통,2,False,http://charme-du-vin.com/2024/12/37601/
175,Selosse-Pajon Blanc de Blancs,Selosse-Pajon,세로스 파종,Blanc de Blancs ランデヴー,?,60800.0,2023,보통,2,False,http://charme-du-vin.com/2023/08/31397/
176,William Barn Blanc de Blancs Brut,William Barn,윌리엄 반,Blanc de Blancs Brut,?,64300.0,2024,보통,2,False,http://charme-du-vin.com/2024/12/37255/
177,William Brun Blanc de Blancs Brut,William Brun,윌리엄 브룅,Blanc de Blancs Brut,?,64300.0,2024,보통,2,False,http://charme-du-vin.com/2024/12/37429/
178,Thierry Houry Blanc de Blancs,Thierry Houry,티에리 우리,Blanc de Blancs,?,65400.0,2023,보통,2,False,http://charme-du-vin.com/2023/03/29329/
179,Thierry Houry Blanc de Noirs,Thierry Houry,티에리 우리,Blanc de Noirs,?,65400.0,2023,보통,2,False,http://charme-du-vin.com/2023/03/29329/
180,Hermar Robion VB03 Extra Brut,Hermar Robion,에르마르 로비옹,VB03 Extra Brut,?,66500.0,2024,보통,2,False,http://charme-du-vin.com/2024/03/33705/
181,L'Anglais Grand Réserve,L'Anglais,랑글레,ブリュ Grand ド Réserve,?,73100.0,2024,보통,2,False,http://charme-du-vin.com/2024/04/34208/
182,William Barn Blanc de Blancs Brut 2016,William Barn,윌리엄 반,Blanc de Blancs Brut 2016,?,81800.0,2023,보통,2,False,http://charme-du-vin.com/2023/10/31858/
183,William Brun Blanc de Blancs 2018,William Brun,윌리엄 브룅,オレア Blanc de Blancs 2018,?,97600.0,2024,보통,2,False,http://charme-du-vin.com/2024/12/37429/
184,L'Anglais Blanc de Blancs Extra Brut Grand Cru,L'Anglais,랑글레,Blanc de Blancs Extra Brut Grand Cru,?,98700.0,2024,보통,2,False,http://charme-du-vin.com/2024/04/34208/
185,Louis Forget Blanc de Noirs Extra Brut,Louis Forget,루이 포르제,Blanc de Noirs Extra Brut,?,102000.0,2024,보통,2,False,http://charme-du-vin.com/2024/03/33805/
186,Louis Forget Rosé Extra Brut,Louis Forget,루이 포르제,Rosé Extra Brut,?,122000.0,2024,보통,2,False,http://charme-du-vin.com/2024/03/33805/
187,Julien Prélat Blanc de Blancs 2019,Julien Prélat,쥘리앵 프렐라,レレヌ Blanc de Blancs 2019,?,155200.0,2024,보통,2,False,http://charme-du-vin.com/2024/11/36999/
188,Henriot Brut Souverain,Henriot,앙리오,Brut Souverain,GM,52600.0,2023,보통,2,True,http://charme-du-vin.com/2023/05/30264/
189,Piper-Heidsieck Essentiel Extra Brut,Piper-Heidsieck,파이퍼 하이직,Essentiel Extra Brut,GM,54300.0,2024,보통,2,True,http://charme-du-vin.com/2024/09/36113/
190,Taittinger Brut Réserve,Taittinger,테탱저,Brut Réserve,GM,65400.0,2024,보통,2,True,http://charme-du-vin.com/2024/10/36318/
191,Piper-Heidsieck Essentiel Blanc de Blancs,Piper-Heidsieck,파이퍼 하이직,Essentiel Blanc de Blancs,GM,68900.0,2023,보통,2,True,http://charme-du-vin.com/2023/08/31089/
192,Moët & Chandon,Moët & Chandon,모엣 샹동,ネクターインペリアル,GM,84100.0,2023,보통,2,True,http://charme-du-vin.com/2023/07/30907/
193,Moët & Chandon Ice Impérial,Moët & Chandon,모엣 샹동,Ice Impérial,GM,88700.0,2023,보통,2,True,http://charme-du-vin.com/2023/07/30907/
194,Pol Roger Pure Extra Brut,Pol Roger,폴 로저,Pure Extra Brut,GM,93500.0,2023,보통,2,True,http://charme-du-vin.com/2023/06/30672/
195,Pol Roger Brut Vintage 2015,Pol Roger,폴 로저,Brut Vintage 2015,GM,107500.0,2023,보통,2,True,http://charme-du-vin.com/2023/04/29925/
196,Deutz Brut Millésime 2014,Deutz,되츠,Brut Millésime 2014,GM,109900.0,2023,보통,2,True,http://charme-du-vin.com/2023/03/29339/
197,Louis Roederer Brut Nature 2009,Louis Roederer,루이 로드레,Brut Nature 2009,GM,116800.0,2023,보통,2,True,http://charme-du-vin.com/2023/10/31991/
198,Laurent-Perrier Cuvée,Laurent-Perrier,로랑 페리에,Cuvée ウルトラ,GM,122000.0,2024,보통,2,True,http://charme-du-vin.com/2024/01/33032/
199,Pol Roger Blanc de Blancs Vintage 2015,Pol Roger,폴 로저,Blanc de Blancs Vintage 2015,GM,134300.0,2023,보통,2,True,http://charme-du-vin.com/2023/06/30672/
200,Laurent-Perrier Brut,Laurent-Perrier,로랑 페리에,ウルトラ Brut,GM,138700.0,2024,보통,2,True,http://charme-du-vin.com/2024/03/33779/
201,Bollinger Pinot Noir TX17,Bollinger,볼랭저,Pinot Noir TX17,GM,140200.0,2023,보통,2,True,http://charme-du-vin.com/2023/01/28955/
202,Bollinger Pinot Noir TX 2017,Bollinger,볼랭저,Pinot Noir TX 2017,GM,140200.0,2023,보통,2,True,http://charme-du-vin.com/2023/03/29593/
203,Deutz Blanc de Blancs 2015,Deutz,되츠,Blanc de Blancs 2015,GM,140200.0,2023,보통,2,True,http://charme-du-vin.com/2023/03/29339/
204,Charles Heidsieck Brut Millésime 2012,Charles Heidsieck,샤를 하이직,Brut Millésime 2012,GM,146100.0,2023,보통,2,True,http://charme-du-vin.com/2023/01/28706/
205,Louis Roederer Brut Nature Rosé 2015,Louis Roederer,루이 로드레,Brut Nature Rosé 2015,GM,151900.0,2023,보통,2,True,http://charme-du-vin.com/2023/01/28976/
206,Bollinger Pinot Noir AYC 2018,Bollinger,볼랭저,Pinot Noir AYC 2018,GM,157600.0,2023,보통,2,True,http://charme-du-vin.com/2023/10/32006/
207,Philipponnat Cuvée 1522,Philipponnat,필리포나,Cuvée 1522,GM,161200.0,2023,보통,2,True,http://charme-du-vin.com/2023/05/30294/
208,Y by Yoshiki × Pommery ☓ Brut ※,Y by Yoshiki × Pommery,Y by Yoshiki,☓ ポメリー Brut ※ [박스없음],GM,175200.0,2023,보통,2,True,http://charme-du-vin.com/2023/04/30038/
209,Henriot Chardonnay Grand Cru 2016,Henriot,앙리오,リナタンデュ Chardonnay Grand Cru 2016,GM,210700.0,2024,보통,2,True,http://charme-du-vin.com/2024/11/36810/
210,Veuve Clicquot Grand 2012 草間彌生,Veuve Clicquot,뵈브 클리코,ラ Grand ダム 2012 草間彌生ラベル,GM,257000.0,2023,보통,2,True,http://charme-du-vin.com/2023/07/30910/
211,Taittinger Comtes de Champagne 2012,Taittinger,테탱저,Comtes de Champagne 2012,GM,277200.0,2024,보통,2,True,http://charme-du-vin.com/2024/10/36270/
212,Billecart-Salmon Cuvée Blanc de Blancs 2008,Billecart-Salmon,빌카르 살몽,Cuvée ルイサルモン Blanc de Blancs 2008,GM,288300.0,2024,보통,2,True,http://charme-du-vin.com/2024/11/36999/
213,Charles Heidsieck de 2007,Charles Heidsieck,샤를 하이직,ブラン de ミレネール 2007,GM,299400.0,2024,보통,2,True,http://charme-du-vin.com/2024/11/36843/
214,Billecart-Salmon Rosé 2009,Billecart-Salmon,빌카르 살몽,エリザベス サルモン Rosé 2009,GM,310500.0,2024,보통,2,True,http://charme-du-vin.com/2024/04/33918/
215,Pol Roger 2015,Pol Roger,폴 로저,サーウィストンチャーチル 2015,GM,354800.0,2024,보통,2,True,http://charme-du-vin.com/2024/11/36674/
216,Taittinger Comtes de Champagne 2006,Taittinger,테탱저,Comtes de Champagne 2006,GM,354800.0,2024,보통,2,True,http://charme-du-vin.com/2024/10/36134/
217,Louis Roederer Coteaux 2019,Louis Roederer,루이 로드레,Coteaux シャンプノワ オマージュカミーユ 2019,GM,365900.0,2024,보통,2,True,http://charme-du-vin.com/2024/07/35180/
218,Philipponnat 2007,Philipponnat,필리포나,クロデ ゴワセ 2007,GM,408900.0,2023,보통,2,True,http://charme-du-vin.com/2023/05/30312/
219,Bollinger R.D.,Bollinger,볼랭저,R.D.,GM,454600.0,2024,보통,2,True,http://charme-du-vin.com/2024/02/33487/
220,Rare Champagne Champagne Rosé Millésime 2014,Rare Champagne,레어,Champagne Rosé Millésime 2014,GM,454600.0,2024,보통,2,True,http://charme-du-vin.com/2024/11/36792/
221,Taittinger Collection 2008,Taittinger,테탱저,Collection 2008,GM,490600.0,2023,보통,2,True,http://charme-du-vin.com/2023/06/30687/
222,Krug Vintage 2008,Krug,크뤼그,Vintage 2008,GM,543300.0,2024,보통,2,True,http://charme-du-vin.com/2024/12/37294/
223,Louis Roederer Cristal Rosé 2014,Louis Roederer,루이 로드레,Cristal Rosé 2014,GM,909200.0,2024,보통,2,True,http://charme-du-vin.com/2024/05/34303/
224,Charles Heidsieck 2017,Charles Heidsieck,샤를 하이직,シャンパン チャーリー 2017,GM,981300.0,2023,보통,2,True,http://charme-du-vin.com/2023/10/31953/
225,Krug Mesnil 2006,Krug,크뤼그,クロド Mesnil 2006,GM,1552300.0,2024,보통,2,True,http://charme-du-vin.com/2024/12/37446/
226,Barfontarc Brut,Barfontarc,바르퐁타르크,ヘリテージ Brut,NM,35500.0,2024,보통,2,True,http://charme-du-vin.com/2024/11/36851/
227,A.R. Lenoble Intense MAG18,A.R. Lenoble,A.R. 르노블,Intense MAG18,NM,42000.0,2023,보통,2,True,http://charme-du-vin.com/2023/01/28781/
228,Charles Collin Cuvée Rosé,Charles Collin,샤를 콜랭,コラン Cuvée シャルル Rosé,NM,43200.0,2024,보통,2,True,http://charme-du-vin.com/2024/05/34583/
229,Nicolas Feuillatte Réserve Exclusive Brut,Nicolas Feuillatte,니콜라 푀이야트,Réserve Exclusive Brut,NM,46600.0,2024,보통,2,True,http://charme-du-vin.com/2024/10/36258/
230,Drappier,Drappier,드라피에,カルトドール,NM,51400.0,2023,보통,2,True,http://charme-du-vin.com/2023/11/32452/
231,Leclerc Briant Brut Réserve,Leclerc Briant,르클레르 브리앙,Brut Réserve,NM,53700.0,2023,보통,2,True,http://charme-du-vin.com/2023/01/28772/
232,Drappier Brut Nature,Drappier,드라피에,Brut Nature,NM,56000.0,2023,보통,2,True,http://charme-du-vin.com/2023/11/32452/
233,Drappier Brut Rosé de,Drappier,드라피에,Brut Rosé de サングエ,NM,56000.0,2023,보통,2,True,http://charme-du-vin.com/2023/12/32663/
234,Lallier R.019 Brut,Lallier,랄리에,R.019 Brut,NM,60800.0,2023,보통,2,True,http://charme-du-vin.com/2023/04/29679/
235,Joseph Perrier Cuvée Royale,Joseph Perrier,조제프 페리에,Cuvée Royale,NM,60900.0,2024,보통,2,True,http://charme-du-vin.com/2024/11/36943/
236,Nicolas Feuillatte Collection Vintage 2012,Nicolas Feuillatte,니콜라 푀이야트,Collection Vintage 2012,NM,63100.0,2023,보통,2,True,http://charme-du-vin.com/2023/11/32280/
237,Charles de Cazanove Blanc de Noirs,Charles de Cazanove,샤를 드 카자노브,Blanc de Noirs,NM,63100.0,2023,보통,2,True,http://charme-du-vin.com/2023/11/32245/
238,Joseph Perrier Cuvée Royale Brut Nature,Joseph Perrier,조제프 페리에,Cuvée Royale Brut Nature,NM,65400.0,2024,보통,2,True,http://charme-du-vin.com/2024/11/36943/
239,Gosset Grand Brut,Gosset,고세,Grand レゼルブ Brut,NM,66500.0,2024,보통,2,True,http://charme-du-vin.com/2024/04/34190/
240,Henri Giraud Nature,Henri Giraud,앙리 지로,エスプリ Nature,NM,68900.0,2023,보통,2,True,http://charme-du-vin.com/2023/01/28918/
241,Bruno Paillard Brut Cuvée,Bruno Paillard,브뤼노 파이야르,Brut プルミエ Cuvée,NM,69900.0,2024,보통,2,True,http://charme-du-vin.com/2024/10/36463/
242,Gosset Grand Blanc de Blancs,Gosset,고세,Grand Blanc de Blancs,NM,74300.0,2024,보통,2,True,http://charme-du-vin.com/2024/04/34190/
243,Jacquart Millésime 2008,Jacquart,자카르,モザイク Millésime 2008,NM,76500.0,2024,보통,2,True,http://charme-du-vin.com/2024/12/37449/
244,Gosset Grand Millésime 2015,Gosset,고세,Grand Millésime 2015,NM,79900.0,2024,보통,2,True,http://charme-du-vin.com/2024/04/34190/
245,Palmer & Co Vintage 2012,Palmer & Co,팔머,Vintage 2012,NM,84100.0,2023,보통,2,True,http://charme-du-vin.com/2023/06/30623/
246,Ayala Blanc de Blancs 2016,Ayala,아얄라,Blanc de Blancs 2016,NM,94300.0,2024,보통,2,True,http://charme-du-vin.com/2024/10/36463/
247,A.R. Lenoble Grand Cru Blanc de Blancs 2008,A.R. Lenoble,A.R. 르노블,Grand Cru Blanc de Blancs 2008,NM,116800.0,2023,보통,2,True,http://charme-du-vin.com/2023/04/29822/
248,Drappier Grand 2012,Drappier,드라피에,Grand サンドレ 2012,NM,127500.0,2024,보통,2,True,http://charme-du-vin.com/2024/07/35258/
249,Henri Giraud,Henri Giraud,앙리 지로,ブランドクレ,NM,149600.0,2024,보통,2,True,http://charme-du-vin.com/2024/08/35502/
250,Encry Millésime 2014,Encry,앙크리,Millésime 2014,NM,157600.0,2023,보통,2,True,http://charme-du-vin.com/2023/01/28806/
251,Bruno Paillard Blanc de Blancs 2014,Bruno Paillard,브뤼노 파이야르,Blanc de Blancs 2014,NM,188500.0,2024,보통,2,True,http://charme-du-vin.com/2024/07/35424/
252,Gosset 2008,Gosset,고세,セレブリス 2008,NM,198600.0,2023,보통,2,True,http://charme-du-vin.com/2023/11/32377/
253,Telmont Blanc de Blancs 2014,Telmont,텔몽,Blanc de Blancs 2014,NM,198600.0,2023,보통,2,True,http://charme-du-vin.com/2023/10/31971/
254,Jacquesson Cuvée 740,Jacquesson,자크송,Cuvée 740 デゴルジュマンタルディフ,NM,219500.0,2024,보통,2,True,http://charme-du-vin.com/2024/06/34780/
255,Jacquesson Cuvée 741,Jacquesson,자크송,Cuvée 741 デゴルジュマンタルディフ,NM,221800.0,2024,보통,2,True,http://charme-du-vin.com/2024/04/34112/
256,Canard-Duchêne Cuvée,Canard-Duchêne,카나르 뒤셴,Cuvée レオニー,NM,233600.0,2023,보통,2,True,http://charme-du-vin.com/2023/07/31043/
257,Henri Giraud Fût de Chêne MV16,Henri Giraud,앙리 지로,Fût de Chêne MV16,NM,377000.0,2024,보통,2,True,http://charme-du-vin.com/2024/09/35888/
258,Henri Giraud 2015,Henri Giraud,앙리 지로,アルゴンヌ 2015,NM,953600.0,2024,보통,2,True,http://charme-du-vin.com/2024/11/37121/
259,André Beaufort Blanc de Noirs 2021,André Beaufort,앙드레 보포르,フレール Blanc de Noirs 2021,RM,31500.0,2023,보통,2,True,http://charme-du-vin.com/2023/11/32344/
260,Henri Dosnon Brut Sélection,Henri Dosnon,앙리 도농,Brut Sélection,RM,36200.0,2023,보통,2,True,http://charme-du-vin.com/2023/01/28775/
261,Huré Frères Invitation,Huré Frères,위레 프레르,Invitation,RM,38600.0,2023,보통,2,True,http://charme-du-vin.com/2023/11/32341/
262,Jamart,Jamart,자마르,カルト ブランシュ,RM,42000.0,2023,보통,2,True,http://charme-du-vin.com/2023/04/30028/
263,Henri Goutorbe Cuvée Tradition Brut,Henri Goutorbe,앙리 구토르브,Cuvée Tradition Brut,RM,42100.0,2024,보통,2,True,http://charme-du-vin.com/2024/10/36286/
264,Louis Nicaise Brut Réserve,Louis Nicaise,루이 니케즈,Brut Réserve,RM,44400.0,2023,보통,2,True,http://charme-du-vin.com/2023/04/30023/
265,Henri Goutorbe Cuvée Prestige Brut,Henri Goutorbe,앙리 구토르브,Cuvée Prestige Brut,RM,47700.0,2024,보통,2,True,http://charme-du-vin.com/2024/01/33072/
266,A. Margaine Brut 1er Cru Cru,A. Margaine,A. 마르겐,Brut 1er Cru Cru,RM,52600.0,2023,보통,2,True,http://charme-du-vin.com/2023/05/30309/
267,Stéphane Coquillette,Stéphane Coquillette,스테판 코키예트,コキエット カルトドール,RM,54900.0,2023,보통,2,True,http://charme-du-vin.com/2023/01/28866/
268,Thévenet-Delouvin Noir Brut,Thévenet-Delouvin,트브네 들루뱅,カルト Noir Brut,RM,56000.0,2023,보통,2,True,http://charme-du-vin.com/2023/10/32050/
269,Chapuy Tradition Brut Rosé,Chapuy,샤퓌,Tradition Brut Rosé,RM,57700.0,2024,보통,2,True,http://charme-du-vin.com/2024/04/34279/
270,José Dhondt Blanc de Blancs,José Dhondt,조제 동,Blanc de Blancs ブリュ,RM,59900.0,2024,보통,2,True,http://charme-du-vin.com/2024/04/34112/
271,Henri Billiot Cuvée Tradition Grand Cru,Henri Billiot,앙리 비요,Cuvée Tradition Grand Cru,RM,62000.0,2023,보통,2,True,http://charme-du-vin.com/2023/11/32239/
272,Jean Lallement Cuvée Tradition,Jean Lallement,장 랄르망,Cuvée Tradition,RM,62000.0,2023,보통,2,True,http://charme-du-vin.com/2023/11/32414/
273,Huguenot-Tassin Signature Millésime 2018,Huguenot-Tassin,위그노 타생,Signature Millésime 2018,RM,63200.0,2024,보통,2,True,http://charme-du-vin.com/2024/12/37240/
274,Barnaut Grand Cru Sélection Brut Nature,Barnaut,바르노,Grand Cru Sélection Brut Nature,RM,65400.0,2024,보통,2,True,http://charme-du-vin.com/2024/12/37606/
275,Huguenot-Tassin Blanc de Blancs 2019,Huguenot-Tassin,위그노 타생,レフィオル Blanc de Blancs 2019,RM,67600.0,2024,보통,2,True,http://charme-du-vin.com/2024/12/37240/
276,Cazé-Thibaut,Cazé-Thibaut,카제 티보,ナチュレルマン,RM,67700.0,2023,보통,2,True,http://charme-du-vin.com/2023/08/31234/
277,Lancelot-Pienne Blanc de Blancs,Lancelot-Pienne,랑슬로 피엔,アンスタン プレザン Blanc de Blancs,RM,67700.0,2023,보통,2,True,http://charme-du-vin.com/2023/03/29342/
278,Rémi Leroy Extra Brut,Rémi Leroy,레미 르루아,Extra Brut,RM,68900.0,2023,보통,2,True,http://charme-du-vin.com/2023/04/30033/
279,J.M. Labruyère Brut,J.M. Labruyère,J.M. 라브뤼예르,プロローグ Brut,RM,70100.0,2023,보통,2,True,http://charme-du-vin.com/2023/07/30958/
280,Pierre Péters Cuvée de Réserve Blanc de Blancs,Pierre Péters,피에르 페테르스,Cuvée de Réserve Blanc de Blancs,RM,70100.0,2023,보통,2,True,http://charme-du-vin.com/2023/05/30146/
281,Bonnaire Blanc de Blancs Brut Nature,Bonnaire,보네르,Blanc de Blancs Brut Nature,RM,71000.0,2024,보통,2,True,http://charme-du-vin.com/2024/12/37255/
282,Rémi Leroy Brut Nature,Rémi Leroy,레미 르루아,Brut Nature,RM,72500.0,2023,보통,2,True,http://charme-du-vin.com/2023/04/30033/
283,Pierre Moncuit Blanc de Blancs,Pierre Moncuit,피에르 몽퀴,Blanc de Blancs,RM,73100.0,2024,보통,2,True,http://charme-du-vin.com/2024/03/33802/
284,André Clouet Dream Vintage 2014,André Clouet,앙드레 클루에,Dream Vintage 2014,RM,74800.0,2023,보통,2,True,http://charme-du-vin.com/2023/03/29564/
285,André Clouet Dream Vintage 2015,André Clouet,앙드레 클루에,Dream Vintage 2015,RM,74800.0,2023,보통,2,True,http://charme-du-vin.com/2023/11/32242/
286,André Clouet,André Clouet,앙드레 클루에,チョーキー,RM,74800.0,2023,보통,2,True,http://charme-du-vin.com/2023/11/32242/
287,Chapuy Blanc de Blancs Millésime 15,Chapuy,샤퓌,Blanc de Blancs Millésime 15,RM,74800.0,2023,보통,2,True,http://charme-du-vin.com/2023/04/29734/
288,Chartogne-Taillet Extra Brut,Chartogne-Taillet,샤르토뉴 타이에,サンアネ Extra Brut,RM,76200.0,2024,보통,2,True,http://charme-du-vin.com/2024/07/35210/
289,Cazé-Thibaut Crayères,Cazé-Thibaut,카제 티보,ティボー Crayères,RM,76500.0,2024,보통,2,True,http://charme-du-vin.com/2024/10/36283/
290,François Seconde Rosé,François Seconde,프랑수아 스공드,シルリー Rosé,RM,77600.0,2024,보통,2,True,http://charme-du-vin.com/2024/03/33736/
291,Chapuy Noir 2012,Chapuy,샤퓌,リヴレ Noir 2012,RM,78200.0,2023,보통,2,True,http://charme-du-vin.com/2023/04/29714/
292,Marie Courtin Extra Brut,Marie Courtin,마리 쿠르탱,レゾナンス Extra Brut,RM,79400.0,2023,보통,2,True,http://charme-du-vin.com/2023/02/29061/
293,Pierre Péters Cuvée de Réserve Blanc de Blancs Brut,Pierre Péters,피에르 페테르스,Cuvée de Réserve Blanc de Blancs Brut,RM,79400.0,2023,보통,2,True,http://charme-du-vin.com/2023/12/32711/
294,Lacourte-Godbillon 1er Cru Cru Cru Terroirs,Lacourte-Godbillon,라쿠르트 고드비용,1er Cru Cru Cru Terroirs デキュイユ,RM,80600.0,2023,보통,2,True,http://charme-du-vin.com/2023/09/31456/
295,Agrapart & Fils Grand Cru Blanc de Blancs Terroirs Extra Brut,Agrapart & Fils,아그라파르,Grand Cru Blanc de Blancs Terroirs Extra Brut,RM,84100.0,2023,보통,2,True,http://charme-du-vin.com/2023/01/28744/
296,Henri Billiot Millésime 2015 Grand Cru,Henri Billiot,앙리 비요,Millésime 2015 Grand Cru,RM,86500.0,2024,보통,2,True,http://charme-du-vin.com/2024/03/33584/
297,Pierre Gimonnet Oger Grand Cru BB Chardonnay,Pierre Gimonnet,피에르 지모네,Oger Grand Cru BB Chardonnay,RM,86500.0,2024,보통,2,True,http://charme-du-vin.com/2024/10/36568/
298,André Clouet Dream Vintage 09,André Clouet,앙드레 클루에,Dream Vintage 09,RM,88700.0,2023,보통,2,True,http://charme-du-vin.com/2023/05/30120/
299,André Clouet Dream Vintage 2009,André Clouet,앙드레 클루에,Dream Vintage 2009,RM,88700.0,2023,보통,2,True,http://charme-du-vin.com/2023/03/29564/
300,Christophe Mignon,Christophe Mignon,크리스토프 미뇽,トロワジェームミレネーム,RM,88700.0,2023,보통,2,True,http://charme-du-vin.com/2023/07/31071/
301,Christophe Mignon ADN de Meunier Extra Brut,Christophe Mignon,크리스토프 미뇽,ADN de Meunier Extra Brut,RM,89900.0,2023,보통,2,True,http://charme-du-vin.com/2023/09/31494/
302,Guy Larmandier Cramant GC Blanc de Blancs,Guy Larmandier,기 라르망디에,Cramant GC Blanc de Blancs,RM,90900.0,2024,보통,2,True,http://charme-du-vin.com/2024/12/37443/
303,Guy Larmandier Grand Cru Blanc de Blancs,Guy Larmandier,기 라르망디에,Grand Cru Blanc de Blancs,RM,90900.0,2024,보통,2,True,http://charme-du-vin.com/2024/07/35299/
304,Vilmart & Cie Cuvée,Vilmart & Cie,빌마르,Cuvée ルビー,RM,90900.0,2024,보통,2,True,http://charme-du-vin.com/2024/04/33915/
305,André Clouet Millésime 2015,André Clouet,앙드레 클루에,Millésime 2015,RM,92100.0,2024,보통,2,True,http://charme-du-vin.com/2024/09/36000/
306,Pierre Péters Extra Brut Blanc de Blancs,Pierre Péters,피에르 페테르스,Extra Brut Blanc de Blancs,RM,93200.0,2024,보통,2,True,http://charme-du-vin.com/2024/11/36755/
307,Pierre Paillard Les Rosé GC,Pierre Paillard,피에르 파이야르,Les テレ Rosé ブージーGC,RM,93500.0,2023,보통,2,True,http://charme-du-vin.com/2023/01/28803/
308,Vilmart & Cie Grand,Vilmart & Cie,빌마르,Grand セリエ,RM,93500.0,2023,보통,2,True,http://charme-du-vin.com/2023/10/32106/
309,De Sousa Avize GC Blanc de Blancs,De Sousa,드 수자,Avize GC Blanc de Blancs リザーヴ,RM,94300.0,2024,보통,2,True,http://charme-du-vin.com/2024/06/34797/
310,Jacques Lassaigne Les Vignes de Montgueux,Jacques Lassaigne,자크 라세뉴,Les Vignes de Montgueux,RM,95800.0,2023,보통,2,True,http://charme-du-vin.com/2023/08/31425/
311,Agrapart & Fils Terroirs Extra Brut Blanc de Blancs,Agrapart & Fils,아그라파르,Terroirs Extra Brut Blanc de Blancs,RM,97600.0,2024,보통,2,True,http://charme-du-vin.com/2024/01/33099/
312,Pierre Legras Blanc de Blancs 2012,Pierre Legras,피에르 르그라,イデドヴォワイヤージュ Blanc de Blancs 2012,RM,97600.0,2024,보통,2,True,http://charme-du-vin.com/2024/10/36568/
313,Pierre Péters Grande Réserve Blanc de Blancs Extra Brut,Pierre Péters,피에르 페테르스,Grande Réserve Blanc de Blancs Extra Brut,RM,98200.0,2023,보통,2,True,http://charme-du-vin.com/2023/09/31705/
314,Henri Goutorbe Spécial Club 2008,Henri Goutorbe,앙리 구토르브,Spécial Club 2008,RM,98700.0,2024,보통,2,True,http://charme-du-vin.com/2024/01/33072/
315,Éric Rodez Cuvée Crayères,Éric Rodez,에릭 로데즈,Cuvée Crayères,RM,98700.0,2024,보통,2,True,http://charme-du-vin.com/2024/12/37443/
316,Éric Rodez Blanc de Noirs,Éric Rodez,에릭 로데즈,Blanc de Noirs,RM,99400.0,2023,보통,2,True,http://charme-du-vin.com/2023/08/31431/
317,Henri Billiot Millésime 2018 Grand Cru,Henri Billiot,앙리 비요,Millésime 2018 Grand Cru,RM,100900.0,2024,보통,2,True,http://charme-du-vin.com/2024/12/37609/
